"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"neonetatl"	"Amoreiras"	21	"Q (AM85B2a)"	-8.375436	38.2464	"LM"	-4881	21	"Csa"
"neonet"	"Botiquera de los Moros"	29	"GrA-13268"	0.103834	41.04649	"LM"	-4936	29	"BSk"
"neonetatl"	"Cabeço da Amoreira"	33	"TO-11861"	-8.6846	39.1054	"LM"	-4857	33	"Csa"
"neonet"	"Cueva de Bajondillo"	57	"Beta-2841145"	-4.496648	36.622965	"LM"	-4974	57	"Csa"
"neonetatl"	"Cueva de los Canes"	66	"OxA-7148"	-4.799097	43.32604	"LM"	-5106	66	"Csb"
"neonetatl"	"Cuzoul de Gramat"	67	"Ly-14204"	1.69682	44.75252	"LM"	-5136	67	"Cfa"
"bda"	"Doukanet el Khoutifa"	69	"SacA-42305"	9.5495	35.8516	"LM"	-5128	69	"BSk"
"neonetatl"	"Fiais"	77	"TO-706"	-8.4227	37.3042	"LM"	-5218	77	"Csa"
"neonet"	"Font-des-Pigeons"	79	"Beta-267434"	5.1667	43.3834	"LM"	-5229	79	NA
"neonet"	"Gazel"	82	"Beta-398936"	2.421154	43.325325	"LM"	-4962	82	"Cfa"
"neonetatl"	"Poças de S. Bento"	108	"OxA-29169"	-8.4606	38.2525	"LM"	-4942	108	"Csa"
"neonetatl"	"Vale de Cerdeira"	129	"GrN-25613"	-8.1418	41.6351	"LM"	-5004	129	"Csb"
"neonetatl"	"Várzea da Mó"	133	"Ua-46310"	-8.34	38.28	"LM"	-5268	133	"Csa"
